variant,revenue_month,signal_date,delay_trading_days,exec_date,exit_date,holding_days,market,stock_id,stock_name,industry,sur_3m,pre_ret_20d,avg_turnover_20d,margin_balance_pct_chg_5d,margin_deleveraging_intensity,no_new_10d_low,abnormal_turnover,entry_open,entry_close,exit_close,possible_limit_up_nonfill,gross_return,net_return
frr1_basic_deleveraging,2025-06,2025-07-11,3,2025-07-16,2025-07-30,10,otc,4721,美琪瑪,化學工業,1.8898415474475747,0.17999999999999994,98751875.0,0.0,0.1487644982349975,True,2.6555324211158817,68.9,72.5,81.8,False,0.18722786647314926,0.17722786647314925
frr1_basic_deleveraging,2025-06,2025-07-11,3,2025-07-16,2025-08-06,15,otc,4721,美琪瑪,化學工業,1.8898415474475747,0.17999999999999994,98751875.0,0.0,0.1487644982349975,True,2.6555324211158817,68.9,72.5,87.5,False,0.2699564586357037,0.2599564586357037
frr1_basic_deleveraging,2025-06,2025-07-11,3,2025-07-16,2025-08-13,20,otc,4721,美琪瑪,化學工業,1.8898415474475747,0.17999999999999994,98751875.0,0.0,0.1487644982349975,True,2.6555324211158817,68.9,72.5,85.3,False,0.23802612481857754,0.22802612481857754
frr1_basic_deleveraging,2025-06,2025-07-11,1,2025-07-14,2025-07-28,10,otc,3260,威剛,半導體業,1.5739401080784858,-0.010449320794148398,793720690.0,0.0,0.12465430291198959,True,1.4536109696778923,90.4,90.0,91.3,False,0.009955752212389202,-4.424778761079849e-05
frr1_basic_deleveraging,2025-06,2025-07-11,1,2025-07-14,2025-08-04,15,otc,3260,威剛,半導體業,1.5739401080784858,-0.010449320794148398,793720690.0,0.0,0.12465430291198959,True,1.4536109696778923,90.4,90.0,92.0,False,0.017699115044247815,0.007699115044247815
frr1_basic_deleveraging,2025-06,2025-07-11,1,2025-07-14,2025-08-11,20,otc,3260,威剛,半導體業,1.5739401080784858,-0.010449320794148398,793720690.0,0.0,0.12465430291198959,True,1.4536109696778923,90.4,90.0,93.4,False,0.0331858407079646,0.023185840707964596
frr1_basic_deleveraging,2025-06,2025-07-11,2,2025-07-15,2025-07-29,10,otc,3260,威剛,半導體業,1.5739401080784858,-0.010449320794148398,793720690.0,0.0,0.12465430291198959,True,1.4536109696778923,90.2,90.7,91.0,False,0.008869179600886845,-0.0011308203991131551
frr1_basic_deleveraging,2025-06,2025-07-11,2,2025-07-15,2025-08-05,15,otc,3260,威剛,半導體業,1.5739401080784858,-0.010449320794148398,793720690.0,0.0,0.12465430291198959,True,1.4536109696778923,90.2,90.7,93.2,False,0.03325942350332589,0.02325942350332589
frr1_basic_deleveraging,2025-06,2025-07-11,2,2025-07-15,2025-08-12,20,otc,3260,威剛,半導體業,1.5739401080784858,-0.010449320794148398,793720690.0,0.0,0.12465430291198959,True,1.4536109696778923,90.2,90.7,95.5,False,0.058758314855875904,0.0487583148558759
frr1_basic_deleveraging,2025-06,2025-07-11,3,2025-07-16,2025-07-30,10,otc,3260,威剛,半導體業,1.5739401080784858,-0.010449320794148398,793720690.0,0.0,0.12465430291198959,True,1.4536109696778923,94.5,91.7,92.0,False,-0.02645502645502651,-0.03645502645502651
frr1_basic_deleveraging,2025-06,2025-07-11,3,2025-07-16,2025-08-06,15,otc,3260,威剛,半導體業,1.5739401080784858,-0.010449320794148398,793720690.0,0.0,0.12465430291198959,True,1.4536109696778923,94.5,91.7,92.4,False,-0.022222222222222143,-0.032222222222222145
frr1_basic_deleveraging,2025-06,2025-07-11,3,2025-07-16,2025-08-13,20,otc,3260,威剛,半導體業,1.5739401080784858,-0.010449320794148398,793720690.0,0.0,0.12465430291198959,True,1.4536109696778923,94.5,91.7,95.3,False,0.00846560846560851,-0.0015343915343914907
frr1_basic_deleveraging,2025-06,2025-07-11,1,2025-07-14,2025-07-28,10,otc,5439,高技,電子零組件業,1.3570667198775286,0.14563106796116498,2451906650.0,0.0,0.04675586246583226,False,1.2086522660259393,236.0,228.0,251.0,False,0.06355932203389836,0.053559322033898356
frr1_basic_deleveraging,2025-06,2025-07-11,1,2025-07-14,2025-08-04,15,otc,5439,高技,電子零組件業,1.3570667198775286,0.14563106796116498,2451906650.0,0.0,0.04675586246583226,False,1.2086522660259393,236.0,228.0,255.5,False,0.08262711864406769,0.07262711864406769
